year,location,earthquakes
1551,REPUBLIQUE DOMINICAINE,1
1564,REPUBLIQUE DOMINICAINE,1
1641,VENEZUELA,1
1684,REPUBLIQUE DOMINICAINE,1
1688,JAMAIQUE,1
1690,ANTIGUA,1
1690,SAINT-KITT'S,2
1691,REPUBLIQUE DOMINICAINE,1
1692,JAMAIQUE,2
1693,CUBA,1
1693,JAMAIQUE,1
1701,HAITI,1
1702,MARTINIQUE,1
1703,VENEZUELA,1
1704,JAMAIQUE,1
1713,HAITI,1
1717,NEVIS,1
1719,JAMAIQUE,1
1721,SURINAM,1
1725,ANTIGUA,1
1727,BARBADOS,1
1727,MARTINIQUE,6
1728,SURINAM,1
1728,TRINIDAD ET TOBAGO,1
1734,HAITI,1
1735,GUADELOUPE,2
1735,MARTINIQUE,2
1736,MARTINIQUE,1
1744,ANTIGUA,1
1745,MARTINIQUE,1
1747,MARTINIQUE,3
1748,MARTINIQUE,5
1749,ANTIGUA,1
1749,MARTINIQUE,5
1749,NEVIS,1
1750,JAMAIQUE,2
1750,MARTINIQUE,1
1751,ANTIGUA,1
1751,HAITI,19
1751,JAMAIQUE,2
1751,MARTINIQUE,6
1751,REPUBLIQUE DOMINICAINE,2
1752,MARTINIQUE,7
1752,GUADELOUPE,1
1753,ANTIGUA,2
1753,MARTINIQUE,56
1753,SAINT-THOMAS,1
1754,ANTIGUA,3
1754,HAITI,1
1754,MARTINIQUE,18
1755,ANTIGUA,1
1755,MARTINIQUE,11
1755,NEVIS,1
1755,PORTUGAL,1
1755,ST-KITT'S,1
1756,MARTINIQUE,3
1757,CUBA,1
1757,MARTINIQUE,3
1758,MARTINIQUE,1
1759,GUYANA,1
1760,CUBA,1
1760,JAMAIQUE,1
1760,SAINT-KITT'S,1
1761,BARBADOS,1
1762,CUBA,1
1762,JAMAIQUE,1
1762,MARTINIQUE,1
1764,GUYANA,1
1764,HAITI,1
1765,ANTIGUA,1
1765,DOMINIQUE,7
1765,GRENADA,1
1765,HAITI,1
1765,TRINIDAD ET TOBAGO,1
1766,ANTIGUA,1
1766,CUBA,4
1766,GRENADA,1
1766,HAITI,2
1766,MARTINIQUE,2
1766,REPUBLIQUE DOMINICAINE,1
1766,VENEZUELA,3
1767,ANGUILLA,1
1767,ANGUILLA,1
1767,ATLANTIQUE,1
1767,GRENADA,1
1767,GUYANE,1
1767,HAITI,1
1767,JAMAIQUE,2
1767,MARTINIQUE,1
1767,ST-KITT'S,1
1768,GUYANA,1
1768,HAITI,3
1769,HAITI,1
1769,JAMAIQUE,2
1770,HAITI,8
1771,HAITI,3
